id;type;year;region;;;;;;;
1;conventional;2015;Albany;;;;;;;
2;conventional;2015;Albany;;;;;;;
3;conventional;2015;Albany;;;;;;;
4;conventional;2015;Albany;;;;;;;
5;conventional;2015;Albany;;;;;;;
6;conventional;2015;Albany;;;;;;;
7;conventional;2015;Albany;;;;;;;
8;conventional;2015;Albany;;;;;;;
9;conventional;2015;Albany;;;;;;;
10;conventional;2015;Albany;;;;;;;
11;conventional;2015;Albany;;;;;;;
12;conventional;2015;Albany;;;;;;;
13;conventional;2015;Albany;;;;;;;
14;conventional;2015;Albany;;;;;;;
15;conventional;2015;Albany;;;;;;;
16;conventional;2015;Albany;;;;;;;
17;conventional;2015;Albany;;;;;;;
18;conventional;2015;Albany;;;;;;;
19;conventional;2015;Albany;;;;;;;
20;conventional;2015;Albany;;;;;;;
21;conventional;2015;Albany;;;;;;;
22;conventional;2015;Albany;;;;;;;
23;conventional;2015;Albany;;;;;;;
24;conventional;2015;Albany;;;;;;;
25;conventional;2015;Albany;;;;;;;
26;conventional;2015;Albany;;;;;;;
27;conventional;2015;Albany;;;;;;;
28;conventional;2015;Albany;;;;;;;
29;conventional;2015;Albany;;;;;;;
30;conventional;2015;Albany;;;;;;;
31;conventional;2015;Albany;;;;;;;
32;conventional;2015;Albany;;;;;;;
33;conventional;2015;Albany;;;;;;;
34;conventional;2015;Albany;;;;;;;
35;conventional;2015;Albany;;;;;;;
36;conventional;2015;Albany;;;;;;;
37;conventional;2015;Albany;;;;;;;
38;conventional;2015;Albany;;;;;;;
39;conventional;2015;Albany;;;;;;;
40;conventional;2015;Albany;;;;;;;
41;conventional;2015;Albany;;;;;;;
42;conventional;2015;Albany;;;;;;;
43;conventional;2015;Albany;;;;;;;
44;conventional;2015;Albany;;;;;;;
45;conventional;2015;Albany;;;;;;;
46;conventional;2015;Albany;;;;;;;
47;conventional;2015;Albany;;;;;;;
48;conventional;2015;Albany;;;;;;;
49;conventional;2015;Albany;;;;;;;
50;conventional;2015;Albany;;;;;;;
51;conventional;2015;Albany;;;;;;;
52;conventional;2015;Albany;;;;;;;
53;conventional;2015;Atlanta;;;;;;;
54;conventional;2015;Atlanta;;;;;;;
55;conventional;2015;Atlanta;;;;;;;
56;conventional;2015;Atlanta;;;;;;;
57;conventional;2015;Atlanta;;;;;;;
58;conventional;2015;Atlanta;;;;;;;
59;conventional;2015;Atlanta;;;;;;;
60;conventional;2015;Atlanta;;;;;;;
61;conventional;2015;Atlanta;;;;;;;
62;conventional;2015;Atlanta;;;;;;;
63;conventional;2015;Atlanta;;;;;;;
64;conventional;2015;Atlanta;;;;;;;
65;conventional;2015;Atlanta;;;;;;;
66;conventional;2015;Atlanta;;;;;;;
67;conventional;2015;Atlanta;;;;;;;
68;conventional;2015;Atlanta;;;;;;;
69;conventional;2015;Atlanta;;;;;;;
70;conventional;2015;Atlanta;;;;;;;
71;conventional;2015;Atlanta;;;;;;;
72;conventional;2015;Atlanta;;;;;;;
73;conventional;2015;Atlanta;;;;;;;
74;conventional;2015;Atlanta;;;;;;;
75;conventional;2015;Atlanta;;;;;;;
76;conventional;2015;Atlanta;;;;;;;
77;conventional;2015;Atlanta;;;;;;;
78;conventional;2015;Atlanta;;;;;;;
79;conventional;2015;Atlanta;;;;;;;
80;conventional;2015;Atlanta;;;;;;;
81;conventional;2015;Atlanta;;;;;;;
82;conventional;2015;Atlanta;;;;;;;
83;conventional;2015;Atlanta;;;;;;;
84;conventional;2015;Atlanta;;;;;;;
85;conventional;2015;Atlanta;;;;;;;
86;conventional;2015;Atlanta;;;;;;;
87;conventional;2015;Atlanta;;;;;;;
88;conventional;2015;Atlanta;;;;;;;
89;conventional;2015;Atlanta;;;;;;;
90;conventional;2015;Atlanta;;;;;;;
91;conventional;2015;Atlanta;;;;;;;
92;conventional;2015;Atlanta;;;;;;;
93;conventional;2015;Atlanta;;;;;;;
94;conventional;2015;Atlanta;;;;;;;
95;conventional;2015;Atlanta;;;;;;;
96;conventional;2015;Atlanta;;;;;;;
97;conventional;2015;Atlanta;;;;;;;
98;conventional;2015;Atlanta;;;;;;;
99;conventional;2015;Atlanta;;;;;;;
100;conventional;2015;Atlanta;;;;;;;
101;conventional;2015;Atlanta;;;;;;;
102;conventional;2015;Atlanta;;;;;;;
103;conventional;2015;Atlanta;;;;;;;
104;conventional;2015;Atlanta;;;;;;;
105;conventional;2015;BaltimoreWashington;;;;;;;
106;conventional;2015;BaltimoreWashington;;;;;;;
107;conventional;2015;BaltimoreWashington;;;;;;;
108;conventional;2015;BaltimoreWashington;;;;;;;
109;conventional;2015;BaltimoreWashington;;;;;;;
110;conventional;2015;BaltimoreWashington;;;;;;;
111;conventional;2015;BaltimoreWashington;;;;;;;
112;conventional;2015;BaltimoreWashington;;;;;;;
113;conventional;2015;BaltimoreWashington;;;;;;;
114;conventional;2015;BaltimoreWashington;;;;;;;
115;conventional;2015;BaltimoreWashington;;;;;;;
116;conventional;2015;BaltimoreWashington;;;;;;;
117;conventional;2015;BaltimoreWashington;;;;;;;
118;conventional;2015;BaltimoreWashington;;;;;;;
119;conventional;2015;BaltimoreWashington;;;;;;;
120;conventional;2015;BaltimoreWashington;;;;;;;
121;conventional;2015;BaltimoreWashington;;;;;;;
122;conventional;2015;BaltimoreWashington;;;;;;;
123;conventional;2015;BaltimoreWashington;;;;;;;
124;conventional;2015;BaltimoreWashington;;;;;;;
125;conventional;2015;BaltimoreWashington;;;;;;;
126;conventional;2015;BaltimoreWashington;;;;;;;
127;conventional;2015;BaltimoreWashington;;;;;;;
128;conventional;2015;BaltimoreWashington;;;;;;;
129;conventional;2015;BaltimoreWashington;;;;;;;
130;conventional;2015;BaltimoreWashington;;;;;;;
131;conventional;2015;BaltimoreWashington;;;;;;;
132;conventional;2015;BaltimoreWashington;;;;;;;
133;conventional;2015;BaltimoreWashington;;;;;;;
134;conventional;2015;BaltimoreWashington;;;;;;;
135;conventional;2015;BaltimoreWashington;;;;;;;
136;conventional;2015;BaltimoreWashington;;;;;;;
137;conventional;2015;BaltimoreWashington;;;;;;;
138;conventional;2015;BaltimoreWashington;;;;;;;
139;conventional;2015;BaltimoreWashington;;;;;;;
140;conventional;2015;BaltimoreWashington;;;;;;;
141;conventional;2015;BaltimoreWashington;;;;;;;
142;conventional;2015;BaltimoreWashington;;;;;;;
143;conventional;2015;BaltimoreWashington;;;;;;;
144;conventional;2015;BaltimoreWashington;;;;;;;
145;conventional;2015;BaltimoreWashington;;;;;;;
146;conventional;2015;BaltimoreWashington;;;;;;;
147;conventional;2015;BaltimoreWashington;;;;;;;
148;conventional;2015;BaltimoreWashington;;;;;;;
149;conventional;2015;BaltimoreWashington;;;;;;;
150;conventional;2015;BaltimoreWashington;;;;;;;
151;conventional;2015;BaltimoreWashington;;;;;;;
152;conventional;2015;BaltimoreWashington;;;;;;;
153;conventional;2015;BaltimoreWashington;;;;;;;
154;conventional;2015;BaltimoreWashington;;;;;;;
155;conventional;2015;BaltimoreWashington;;;;;;;
156;conventional;2015;BaltimoreWashington;;;;;;;
157;conventional;2015;Boise;;;;;;;
158;conventional;2015;Boise;;;;;;;
159;conventional;2015;Boise;;;;;;;
160;conventional;2015;Boise;;;;;;;
161;conventional;2015;Boise;;;;;;;
162;conventional;2015;Boise;;;;;;;
163;conventional;2015;Boise;;;;;;;
164;conventional;2015;Boise;;;;;;;
165;conventional;2015;Boise;;;;;;;
166;conventional;2015;Boise;;;;;;;
167;conventional;2015;Boise;;;;;;;
168;conventional;2015;Boise;;;;;;;
169;conventional;2015;Boise;;;;;;;
170;conventional;2015;Boise;;;;;;;
171;conventional;2015;Boise;;;;;;;
172;conventional;2015;Boise;;;;;;;
173;conventional;2015;Boise;;;;;;;
174;conventional;2015;Boise;;;;;;;
175;conventional;2015;Boise;;;;;;;
176;conventional;2015;Boise;;;;;;;
177;conventional;2015;Boise;;;;;;;
178;conventional;2015;Boise;;;;;;;
179;conventional;2015;Boise;;;;;;;
180;conventional;2015;Boise;;;;;;;
